pdf_url	origin_url
https://music.usc.edu/wp-content/uploads/2025/07/Current-USC-students-Grad-app-instructions-20263.pdf	https://music.usc.edu/admission/deadlines/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_Jazz_2014-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_Jazz_2017-18.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicIndustry_2015-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicIndustry_2016-17.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicIndustry_2017-18.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicProduction_2015-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicProduction_2016-17.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicProduction_2017-18.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicRecording_2015-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicRecording_2016-17.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicRecording_2017-18.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicalStudies_2014-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicalStudies_2017-18.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicalTheatre_2017-18.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicalTheatre_NonMusicMajors_2014-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicalTheatre_NonVocalArts_2014-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_MusicalTheatre_VocalArts_2014-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_PopularMusic_2015-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_PopularMusic_2016-17.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_PopularMusic_2017-18.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_Songwriting_2015-16.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_Songwriting_2016-17.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2017/09/RequirementList_Minor_Songwriting_2017-18.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2020/07/MM-MSCR-Req-List-20203.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2020/07/MM-MTCM-Req-List-20203.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2022/07/MM-MPOR-Req.-List-20223.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2022/09/BM-MPOR-4-year-plan-20223.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2022/09/BM-Organ-Req.-List-223.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Double-Bass-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Harp-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Jazz-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Jazz-Guitar-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Jazz-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Jazz-Voice-4-year-plan-ODD-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Jazz-Voice-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MPCG-4-year-plan-ODD-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MPDB-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MPHP-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MPOR-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MPPI-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MPVA-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MPVL-MPCE-4-year-plan-ODD-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MPVN-4-year-plan-ODD-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MPWP-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MUCM-ODD-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MUCM-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MUCO-ODD-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-MUCO-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Organ-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Piano-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Pop-Music-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Pop-Music-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Pop-Music-SONG-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Production-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Production-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Viola-Violoncello-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Violin-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BM-Wind-Percussion-Req.-List-233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
https://music.usc.edu/wp-content/uploads/2023/07/BS-MUIN-4-year-plan-20233.pdf	https://music.usc.edu/students/requirement-lists-courses-plans/
